Country,EdLevel,YearsExperience,DevType,AnualSalary
United States of America,Master’s degree,16.0,Data scientist or machine learning specialist,150000.0
United States of America,Master’s degree,5.0,Data scientist or machine learning specialist,140000.0
United States of America,Postgraduate,14.0,Data scientist or machine learning specialist,150000.0
United States of America,Master’s degree,5.0,Data scientist or machine learning specialist,145000.0
United States of America,Postgraduate,11.0,Data scientist or machine learning specialist,72000.0
United States of America,Bachelor’s degree,6.0,Data scientist or machine learning specialist,90000.0
United States of America,Bachelor’s degree,5.0,Data scientist or machine learning specialist,105000.0
United States of America,Master’s degree,6.0,Data scientist or machine learning specialist,125000.0
United States of America,Master’s degree,10.0,Data scientist or machine learning specialist,120000.0
United States of America,Less than a Bachelor’s,19.0,Data scientist or machine learning specialist,150000.0
United States of America,Master’s degree,22.0,Data scientist or machine learning specialist,95000.0
United States of America,Master’s degree,8.0,Data scientist or machine learning specialist,122000.0
United States of America,Postgraduate,5.0,Data scientist or machine learning specialist,73000.0
United States of America,Bachelor’s degree,2.0,Data scientist or machine learning specialist,60000.0
United States of America,Bachelor’s degree,2.0,Data scientist or machine learning specialist,150000.0
United States of America,Master’s degree,2.0,Data scientist or machine learning specialist,90000.0
United States of America,Master’s degree,1.0,Data scientist or machine learning specialist,105000.0
United States of America,Bachelor’s degree,12.0,Data scientist or machine learning specialist,135000.0
United States of America,Master’s degree,10.0,Data scientist or machine learning specialist,115200.0
United States of America,Master’s degree,1.0,Data scientist or machine learning specialist,105000.0
United States of America,Bachelor’s degree,3.0,Data scientist or machine learning specialist,121933.0
United States of America,Postgraduate,2.0,Data scientist or machine learning specialist,70000.0
United States of America,Bachelor’s degree,2.0,Data scientist or machine learning specialist,100000.0
United States of America,Postgraduate,8.0,Data scientist or machine learning specialist,100000.0
United States of America,Postgraduate,5.0,Data scientist or machine learning specialist,75000.0
United States of America,Postgraduate,5.0,Data scientist or machine learning specialist,120000.0
United States of America,Bachelor’s degree,4.0,Data scientist or machine learning specialist,154000.0
United States of America,Master’s degree,4.0,Data scientist or machine learning specialist,125000.0
United States of America,Bachelor’s degree,2.0,Data scientist or machine learning specialist,65000.0
United States of America,Postgraduate,3.0,Data scientist or machine learning specialist,125000.0
United States of America,Postgraduate,4.0,Data scientist or machine learning specialist,90000.0
